SessionId,EventSequence,Anomaly
16212,['6d3c53ec'],1.0
16288,['1bcace46'],1.0
16316,['dd964694'],1.0
16437,['18076c54'],1.0
16866,['88597f1c'],1.0
17193,['60e69528'],1.0
17500,['108ecbec'],1.0
17642,['18076c54'],1.0
17955,['410d1073'],1.0
18022,['30fc5842'],1.0
18380,['085a4b15'],1.0
18884,['bfafdea5'],1.0
19018,['bfafdea5'],1.0
19117,['bfafdea5'],1.0
19123,['bfafdea5'],1.0
19391,['6d3c53ec'],1.0
19644,['6d3c53ec'],1.0
19685,['88597f1c'],1.0
19713,['13a0d736'],1.0
19928,['6d3c53ec'],1.0
20217,['6d3c53ec'],1.0
20600,['6d3c53ec'],1.0
20681,['6d3c53ec'],1.0
20785,['6d3c53ec'],1.0
20945,['6d3c53ec'],1.0
20994,['6d3c53ec'],1.0
21225,['6d3c53ec'],1.0
21437,['6d3c53ec'],1.0
21448,['6d3c53ec'],1.0
21767,['6d3c53ec'],1.0
21910,['6d3c53ec'],1.0
22002,['6d3c53ec'],1.0
22122,['6d3c53ec'],1.0
22172,['6d3c53ec'],1.0
22269,['6d3c53ec'],1.0
22450,['6d3c53ec'],1.0
22642,['6d3c53ec'],1.0
