EventId,EventTemplate,Occurrences
6f6c9e27,------------->,1
e3e10769,create operational <*> ssid=VHT KEANGNAM,12
654eb92d,create operational <*> ssid=VHT KEANGNAM <*>,12
17b85f66,map_<*>_Set_Read_Bss_Conf_and_Renew,1
244b3957,input len is less,5
b1660f1e,"<*> LIB_<*>_READ_BSS_CONF_AND_RENEW, local:<*>, version:<*>",1
9a28bd57,set hidden_ssid: ifname = <*> hidessid = <*>,5
6be56b9e,<*> <*> not found in MAP dev list,8
f2ffe156,<*> create new radio <*> parent device = <*>,8
396f2943,Send Sta Cap Query message to device <*> client <*> bssid <*>,5
6246823d,Invalid Channel,2
29ebe076,<*> Max Steer Cand reached <*>,1
dd427ec4,connected(<*>:0b:2a:ff:e9:<*>) n_iface(2e:0b:2a:f1:ba:<*>),3
292b7a06,connected(2e:0b:2a:f1:ba:<*>) n_iface(<*>:0b:2a:ff:e9:<*>),4
aab7825e,Info ID(<*>) is not ANQP query list and not ANQP vendor-specific query list,1
72b140b8,!!agent info(<*>:0b:2a:f1:ba:<*>) not exist,2
a7ea71eb,<*> requested BSS not available,1
48e27a00,client_id is not valid!,39
313c034e,dev avalible by almac(<*>:0b:2a:bf:e9:<*>),4
99dcef35,connected(<*>:0b:2a:ff:e9:<*>) n_iface(2e:0b:2a:bf:e9:c5),1
